航次ID,船舶ID,进泊时间,离泊时间,船长,船宽,载重吨,船舶类型代码A,船舶类型代码B,泊位位置
1,525100545,1682989498,1683074299,97,16,3844,A,B,121.8960833011353 29.93290032975045
2,538009693,1677837175,1677872373,147,24,13075,B,A,121.92547188203457 29.936120717921202
3,477795300,1674911393,1674958671,366,48,140637,B,A,122.02107120092448 29.778912029292396
4,563188400,1703743411,1703996824,156,25,26004,C,B,121.75439821138373 29.979150371202415
5,413472910,1692065263,1692155248,119,19,5562,A,B,121.8960833011353 29.93290032975045
6,477855900,1672570989,1672622603,172,28,21196,B,A,121.93228463787132 29.940084640162464
7,636021665,1704459609,1704563784,366,51,175897,B,A,122.04954154331483 29.890458695384908
8,235093619,1698079505,1698182362,335,46,103668,B,A,121.86256874954715 29.938672571655324
9,538008946,1680998427,1681018595,171,28,23412,B,A,121.93228463787132 29.940084640162464
10,356015000,1704885909,1704928054,186,36,37621,B,A,121.84116957510483 29.944137794036124
11,352002802,1691983994,1692255002,182,32,46684,C,B,121.74391419091693 29.98181953364116
12,352132000,1685521570,1685582343,95,16,3752,A,B,121.89906923112821 29.93256276320894
13,370411000,1675422064,1675490766,146,24,19998,C,B,121.9561103968495 29.95190766488247
14,636022213,1701768169,1701901695,179,32,45290,C,B,121.74391419091693 29.98181953364116
15,440728000,1694711678,1694738955,261,32,51752,B,A,121.84116957510483 29.944137794036124
16,416072000,1675477866,1675640769,149,24,19999,C,B,121.89906923112821 29.93256276320894
17,440146000,1704671820,1704756270,100,18,4867,A,B,121.89868694105951 29.931472410600644
18,477712900,1674095600,1674268710,330,60,296326,D,C,121.81345119675835 29.956549406214588
19,626410000,1706423038,1706669729,250,44,117153,D,C,121.9900784144446 29.92800063526856
20,403639000,1697345550,1697438688,183,35,55202,C,B,121.78323817164318 29.97243550629892
21,416491000,1692754522,1692832653,0,0,57320,B,A,122.00190326744374 29.764757824193353
22,374850000,1692142517,1692227454,99,17,4981,A,B,121.89906923112821 29.93256276320894
23,477856800,1683327487,1683394992,366,51,156114,B,A,121.92909140408368 29.938775522735195
24,235102681,1690471885,1690532645,335,46,103891,B,A,122.00491060230848 29.76673611935694
25,563872000,1706313359,1706404845,229,38,92928,E,D,122.07685838333425 29.893054494052702
26,352001378,1685254587,1685515616,299,46,95606,A,C,122.09094289999453 29.897187190163223
27,372571000,1688021015,1688084938,119,20,11512,C,B,121.78323817164318 29.97243550629892
28,353924000,1683254508,1683422680,289,45,180199,E,D,122.07685838333425 29.893054494052702
29,447097000,1692779737,1693108663,333,60,319660,D,C,121.81345119675835 29.956549406214588
30,477652100,1680668492,1680930665,330,60,297336,D,C,121.81345119675835 29.956549406214588
31,636016176,1689230167,1689397260,120,20,10128,A,B,121.9561103968495 29.95190766488247
32,353616000,1674007148,1674176619,178,28,34497,C,B,121.75109782011569 29.9804931127261
33,636020969,1698885506,1699059160,292,45,181412,E,D,122.07685838333425 29.893054494052702
34,477887200,1688063251,1688101965,186,35,37504,B,A,121.92909140408368 29.938775522735195
35,232006324,1703410011,1703550560,289,45,180230,E,D,122.07685838333425 29.893054494052702
36,477237200,1688536633,1688709842,183,32,45999,C,B,121.74391419091693 29.98181953364116
37,477137700,1674985019,1675026725,172,28,21355,B,A,121.92547188203457 29.936120717921202
38,357964000,1675839840,1676090710,183,27,35775,C,B,121.74391419091693 29.98181953364116
39,440228000,1699078793,1699250370,117,20,11260,C,B,121.89581318351006 29.93222177093501
40,305977000,1677117412,1677151652,172,27,21789,B,A,121.86256874954715 29.938672571655324
41,440375000,1677618177,1677650163,148,23,12631,B,A,121.93228463787132 29.940084640162464
42,257892000,1706501023,1706678859,182,32,49466,C,B,121.9529721578593 29.94995541645756
43,636019381,1683517498,1683678766,292,45,175931,E,D,122.07685838333425 29.893054494052702
44,477767400,1681432606,1681602087,115,18,8587,A,B,121.74664956036302 29.981807064148477
45,241058000,1674043179,1674147145,292,45,180391,E,D,121.88299170323923 29.936601974988143
46,413472910,1681365947,1681517397,119,19,5562,A,B,121.89906923112821 29.93256276320894
47,241325000,1677046851,1677111578,333,60,320105,D,C,121.99610422984635 29.92340472293356
48,241517000,1702530915,1702868259,274,48,156458,D,C,121.8177632951752 29.95400256789684
49,636018994,1704073864,1704169832,299,50,208652,E,D,122.07685838333425 29.893054494052702
50,256742000,1679706253,1679790886,225,37,54376,A,C,121.97377818306916 29.945100713933336
51,311000475,1682227745,1682382582,295,46,95452,A,C,122.09094289999453 29.897187190163223
52,563157300,1702029872,1702097955,134,22,11424,B,A,121.93228463787132 29.940084640162464
53,636022175,1681906358,1681933310,172,27,22750,B,A,121.83557254458088 29.946175822681994
54,563157400,1685150470,1685200559,135,18,8523,B,A,121.92909140408368 29.938775522735195
55,477400900,1693843347,1693875683,134,20,8732,B,A,121.92151130212007 29.93412576257949
56,538004975,1694056745,1694415352,281,44,82005,A,C,122.09094289999453 29.897187190163223
57,352402000,1697346515,1697507033,333,60,313918,D,C,121.9900784144446 29.92800063526856
58,373457000,1684035915,1684078559,302,43,79423,B,A,122.02107120092448 29.778912029292396
59,477893900,1703980668,1704064394,148,24,13281,B,A,121.92337754450146 29.91836008290917
60,563034800,1705188816,1705271194,330,48,132791,B,A,122.03704830124349 29.893930377836373
61,477625100,1683351531,1683519296,183,32,46238,C,B,121.74391419091693 29.98181953364116
62,563129600,1688088150,1688129269,172,28,21972,B,A,121.92547188203457 29.936120717921202
63,229949000,1698933085,1698987217,172,27,21508,B,A,121.83557254458088 29.946175822681994
64,370071000,1702866233,1702948593,254,43,115297,E,D,122.07685838333425 29.893054494052702
65,636017724,1690441830,1690472751,172,27,21663,B,A,121.84116957510483 29.944137794036124
66,564995000,1698224294,1698275320,285,40,63400,B,A,121.86442501839048 29.938071272210003
67,566510000,1697615298,1697701489,259,37,57830,B,A,121.84116957510483 29.944137794036124
68,440375000,1675656292,1675685601,148,23,12631,B,A,121.92909140408368 29.938775522735195
69,477462300,1704948961,1705116242,333,60,318506,D,C,121.9900784144446 29.92800063526856
70,319468000,1701923744,1701988969,177,31,37090,C,B,121.75439821138373 29.979150371202415
71,246249000,1691736271,1691829995,115,16,6750,A,B,121.9561103968495 29.95190766488247
72,440892000,1699406628,1699493396,91,14,3551,C,B,121.74526834273715 29.975417393334514
73,477157400,1701100263,1701178801,400,59,198485,B,A,122.02107120092448 29.778912029292396
74,352002265,1693619841,1693655670,122,22,8018,B,A,121.86670274091357 29.937366869184032
75,538005016,1703394448,1703556596,134,23,14968,D,C,122.11536286626986 29.9081121196694
76,477967300,1690072115,1690124308,172,28,21196,B,A,121.92547188203457 29.936120717921202
77,440133000,1693888832,1693975540,101,16,5526,C,B,121.89581318351006 29.93222177093501
78,636022879,1687395191,1687479907,366,51,204748,B,A,122.05279860785562 29.890331949101153
79,441656000,1692932843,1693022777,89,15,3970,C,B,121.89906923112821 29.93256276320894
80,374728000,1698218410,1698281219,97,17,3994,A,B,121.8960833011353 29.93290032975045
81,228079700,1675663409,1675755945,330,60,320350,D,C,121.99610422984635 29.92340472293356
82,352402000,1693293575,1693445600,333,60,313918,D,C,121.8177632951752 29.95400256789684
83,636092997,1691544779,1691576561,174,27,23350,B,A,121.87415299792524 29.935347915226927
84,538007028,1687307972,1687411453,225,36,54630,A,C,121.97377818306916 29.945100713933336
85,413434150,1698365751,1698451287,100,15,3034,A,B,121.89868694105951 29.931472410600644
86,538007486,1673946578,1673987987,294,32,64220,B,A,121.83825180579714 29.945235140108068
87,636093216,1692860219,1693012074,142,20,12090,C,B,121.9561103968495 29.95190766488247
88,538006892,1673656635,1673672448,160,25,25196,C,B,121.77782813498385 29.974398546735802
89,403645000,1680668357,1680764055,183,35,55202,C,B,121.74391419091693 29.98181953364116
90,538003782,1705409933,1705516670,290,45,169126,E,D,121.88299170323923 29.936601974988143
91,636092869,1683477185,1683677809,240,32,47266,B,A,122.04954154331483 29.890458695384908
92,219630000,1673136084,1673303403,399,60,214121,B,A,122.04040625503215 29.89264034445189
93,356946000,1698950896,1698990289,300,40,97019,B,A,122.04040625503215 29.89264034445189
94,441210000,1704618224,1704755374,134,21,14227,C,B,121.89581318351006 29.93222177093501
95,477887200,1682289175,1682345183,186,35,37504,B,A,121.92909140408368 29.938775522735195
96,636017867,1675293183,1675402528,398,59,222676,B,A,122.0464197431265 29.8909733510863
97,356189000,1673899156,1674007412,293,40,72370,B,A,121.86670274091357 29.937366869184032
98,416065000,1703468587,1703634854,149,24,19999,C,B,121.8960833011353 29.93290032975045
99,636019386,1691983346,1692155245,333,60,319911,D,C,121.81345119675835 29.956549406214588
100,311000375,1686030642,1686105785,226,36,54656,A,C,121.97377818306916 29.945100713933336
101,352978162,1698043004,1698130270,96,15,3143,A,B,121.89868694105951 29.931472410600644
102,370569000,1675515931,1675540858,148,23,13719,B,A,122.04040625503215 29.89264034445189
103,566358000,1691559083,1691652703,300,48,187888,E,D,121.8854311014227 29.935859473467904
104,636019985,1679903365,1680002699,330,48,132604,B,A,121.83278587017914 29.947227829201804
105,235117932,1686857112,1686977485,292,45,179444,E,D,121.88299170323923 29.936601974988143
106,440287000,1702801695,1702837310,294,32,65002,B,A,121.84116957510483 29.944137794036124
107,636022175,1705879628,1705939331,172,27,22750,B,A,121.83557254458088 29.946175822681994
108,413329850,1673838054,1673885340,145,23,12696,B,A,121.92337754450146 29.91836008290917
109,412474590,1706145325,1706227826,110,18,4378,A,B,121.89581318351006 29.93222177093501
110,477158400,1695185232,1695264867,289,45,149999,E,D,122.07685838333425 29.893054494052702
111,370854000,1684041545,1684222211,160,27,25982,C,B,121.9529721578593 29.94995541645756
112,477017500,1698464336,1698635500,183,32,46471,C,B,121.75109782011569 29.9804931127261
113,525109011,1699146659,1699255718,100,17,3774,A,B,121.8960833011353 29.93290032975045
114,440037000,1704333603,1704429291,96,15,3197,A,B,121.89906923112821 29.93256276320894
115,636014629,1686318425,1686423384,292,45,176403,E,D,121.88299170323923 29.936601974988143
