航次ID,船舶ID,进泊时间,离泊时间,船长,船宽,载重吨,船舶类型代码A,船舶类型代码B,泊位位置,装载量
1,416047000,1675473797,1675518110,191,28,21008,B,A,121.92547188203457 29.936120717921202,727
2,477348700,1705873575,1705955326,148,23,13295,B,A,122.03102823282664 29.89508922632821,4655.3
3,403581000,1698565729,1698648243,183,32,45963,C,B,121.9529721578593 29.94995541645756,5232.04
4,636017880,1682725395,1682902247,333,60,319611,D,C,121.9900784144446 29.92800063526856,132480.73
5,352002194,1701590148,1701743369,247,42,106808,D,C,121.8177632951752 29.95400256789684,94283.68
6,240950000,1684397828,1684503612,292,45,177835,E,D,121.88299170323923 29.936601974988143,71893
7,352175000,1682314860,1682392233,95,16,4034,A,B,121.89868694105951 29.931472410600644,3003
8,357223000,1689565585,1689653117,224,36,52160,A,C,121.97377818306916 29.945100713933336,7913.42
9,636021014,1677721322,1677805099,340,60,311979,D,C,121.99610422984635 29.92340472293356,70112.06
10,220416000,1687926041,1688018402,367,43,115700,B,A,122.0464197431265 29.8909733510863,22320
11,352001232,1685942164,1686523049,332,58,305795,D,C,121.97053870035003 29.948500300623,281576.2
12,440146000,1698278693,1698363643,100,18,4867,A,B,121.89868694105951 29.931472410600644,2320.13
13,477136400,1701663696,1701752490,90,15,3557,C,B,121.89868694105951 29.931472410600644,3000
14,412474590,1672707130,1672787848,110,18,4378,A,B,121.8960833011353 29.93290032975045,3950
15,477464800,1706306073,1706365168,141,23,11913,B,A,122.02459458045499 29.78192432924778,446
16,477795300,1674911393,1674958671,366,48,140637,B,A,122.02107120092448 29.778912029292396,407.2
17,636020365,1698122285,1698283661,169,26,24621,C,B,121.9529721578593 29.94995541645756,7475
18,538007680,1687656954,1687694952,260,32,50716,B,A,122.03102823282664 29.89508922632821,1821
19,416072000,1699674659,1699917900,149,24,19999,C,B,121.8960833011353 29.93290032975045,7999.86
20,257081350,1692837943,1692944477,183,32,49120,C,B,121.9529721578593 29.94995541645756,6800
21,412533000,1701304963,1701399506,254,43,115075,E,D,122.07685838333425 29.893054494052702,28763
22,538005774,1678696484,1678860145,184,27,38506,C,B,121.75439821138373 29.979150371202415,12954.12
23,241428000,1698723806,1698882926,292,45,180940,E,D,122.07685838333425 29.893054494052702,81096
24,636018057,1682351197,1682420442,336,43,102518,B,A,122.01299469099648 29.772993330553064,20000
25,563133600,1688356054,1688517286,230,36,54966,A,C,121.97377818306916 29.945100713933336,22133.41
26,311020800,1704943759,1705028551,110,21,10003,A,B,121.8960833011353 29.93290032975045,3004.48
27,370122000,1683777778,1683871988,143,24,19701,C,B,121.9561103968495 29.95190766488247,5885.83
28,413472910,1704346606,1704438144,119,19,5562,A,B,121.89581318351006 29.93222177093501,5005
29,413379840,1705038473,1705204318,96,15,4020,C,B,121.74526834273715 29.975417393334514,2861.91
